timestamp,IRR,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,temp,vento_dir,vento_vel,rainfall,P_AC,I_AC,I_DC,V_AC,V_DC,P_AC_Group1,P_AC_Group2,P_AC_Group3,P_AC_Group4,P_AC_Group5,P_AC_Group6,I_AC_Group1,I_AC_Group2,I_AC_Group3,I_AC_Group4,I_AC_Group5,I_AC_Group6,I_DC_Group1,I_DC_Group2,I_DC_Group3,I_DC_Group4,I_DC_Group5,I_DC_Group6,V_AC_Group1,V_AC_Group2,V_AC_Group3,V_AC_Group4,V_AC_Group5,V_AC_Group6,V_DC_Group1,V_DC_Group2,V_DC_Group3,V_DC_Group4,V_DC_Group5,V_DC_Group6
2019-11-20 00:01:00,0,3.98,0.13,0.0,0.0,32.83,0.09,0.0,0.0,0.46,24.44,45,9.31,0.0,0,0.09,0.0,213.7,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,40.2,40.2,40.2,40.2,40.2,40.2
2019-11-20 00:02:00,0,3.12,0.1,0.0,0.0,25.77,0.07,0.0,0.0,0.46,24.38,0,5.32,0.0,0,0.09,0.0,213.7,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,40.2,40.2,40.2,40.2,40.2,40.2
2019-11-20 00:03:00,0,3.64,0.12,0.0,0.0,30.01,0.08,0.0,0.0,0.46,24.38,90,2.66,0.0,0,0.09,0.0,213.7,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,40.2,40.2,40.2,40.2,40.2,40.2
2019-11-20 00:04:00,0,3.47,0.12,0.0,0.0,28.62,0.08,0.0,0.0,0.47,24.5,0,10.64,0.0,0,0.09,0.0,213.7,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,40.4,40.4,40.4,40.4,40.4,40.4
2019-11-20 00:05:00,0,3.37,0.11,0.0,0.0,27.84,0.08,0.0,0.0,0.48,24.62,0,13.3,0.0,0,0.09,0.0,213.7,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,40.4,40.4,40.4,40.4,40.4,40.4
2019-11-20 00:06:00,0,3.7,0.12,0.0,0.0,30.54,0.08,0.0,0.0,0.46,24.62,45,3.99,0.0,0,0.09,0.0,213.7,40.6,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,40.6,40.6,40.6,40.6,40.6,40.6
2019-11-20 00:07:00,0,3.21,0.11,0.0,0.0,26.52,0.07,0.0,0.0,0.45,24.31,45,5.32,0.0,0,0.09,0.0,213.7,40.6,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,40.6,40.6,40.6,40.6,40.6,40.6
2019-11-20 00:08:00,0,3.59,0.12,0.0,0.0,29.61,0.08,0.0,0.0,0.45,24.44,90,5.32,0.0,0,0.09,0.0,213.7,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,40.8,40.8,40.8,40.8,40.8,40.8
2019-11-20 00:09:00,0,4.07,0.14,0.0,0.0,33.6,0.09,0.0,0.0,0.45,24.5,0,13.3,0.0,0,0.09,0.0,213.7,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,40.8,40.8,40.8,40.8,40.8,40.8
2019-11-20 00:10:00,0,3.6,0.12,0.0,0.0,29.71,0.08,0.0,0.0,0.45,24.5,90,3.99,0.0,0,0.09,0.0,213.7,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,40.7,40.7,40.7,40.7,40.7,40.7
2019-11-20 00:11:00,0,3.21,0.11,0.0,0.0,26.47,0.07,0.0,0.0,0.45,24.5,45,10.64,0.0,0,0.09,0.0,213.7,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,40.7,40.7,40.7,40.7,40.7,40.7
2019-11-20 00:12:00,0,4.0,0.13,0.0,0.0,32.97,0.09,0.0,0.0,0.45,24.62,90,3.99,0.0,0,0.09,0.0,213.7,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,40.9,40.9,40.9,40.9,40.9,40.9
2019-11-20 00:13:00,0,3.07,0.1,0.0,0.0,25.31,0.07,0.0,0.0,0.45,24.5,135,6.65,0.0,0,0.09,0.0,213.7,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,40.9,40.9,40.9,40.9,40.9,40.9
2019-11-20 00:14:00,0,3.55,0.12,0.0,0.0,29.27,0.08,0.0,0.0,0.45,24.56,90,5.32,0.0,0,0.09,0.0,213.7,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,41.2,41.2,41.2,41.2,41.2,41.2
2019-11-20 00:15:00,0,3.81,0.13,0.0,0.0,31.45,0.09,0.0,0.0,0.45,24.31,90,5.32,0.0,0,0.09,0.0,213.7,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,41.2,41.2,41.2,41.2,41.2,41.2
2019-11-20 00:16:00,0,3.64,0.12,0.0,0.0,30.03,0.08,0.0,0.0,0.46,24.12,45,5.32,0.0,0,0.09,0.0,213.7,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,41.3,41.3,41.3,41.3,41.3,41.3
2019-11-20 00:17:00,0,4.36,0.15,0.0,0.0,35.98,0.1,0.0,0.0,0.44,24.25,45,9.31,0.0,0,0.09,0.0,213.7,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,41.3,41.3,41.3,41.3,41.3,41.3
2019-11-20 00:18:00,0,3.84,0.13,0.0,0.0,31.66,0.09,0.0,0.0,0.45,24.31,90,6.65,0.0,0,0.09,0.0,213.7,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,41.4,41.4,41.4,41.4,41.4,41.4
2019-11-20 00:19:00,0,3.96,0.13,0.0,0.0,32.67,0.09,0.0,0.0,0.46,24.19,45,1.33,0.0,0,0.09,0.0,213.7,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,41.4,41.4,41.4,41.4,41.4,41.4
2019-11-20 00:20:00,0,3.61,0.12,0.0,0.0,29.74,0.08,0.0,0.0,0.46,24.12,45,0.0,0.0,0,0.09,0.0,213.7,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,41.4,41.4,41.4,41.4,41.4,41.4
2019-11-20 00:21:00,0,4.67,0.16,0.0,0.0,38.52,0.11,0.0,0.0,0.46,24.31,45,13.3,0.0,0,0.09,0.0,213.7,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,41.4,41.4,41.4,41.4,41.4,41.4
2019-11-20 00:22:00,0,4.06,0.13,0.0,0.0,33.47,0.09,0.0,0.0,0.46,24.31,335,5.32,0.0,0,0.09,0.0,213.7,41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,41.5,41.5,41.5,41.5,41.5,41.5
2019-11-20 00:23:00,0,4.13,0.14,0.0,0.0,34.06,0.09,0.0,0.0,0.46,24.19,45,5.32,0.0,0,0.09,0.0,213.7,41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,41.5,41.5,41.5,41.5,41.5,41.5
2019-11-20 00:24:00,0,3.91,0.13,0.0,0.0,32.27,0.09,0.0,0.0,0.48,24.44,0,7.98,0.0,0,0.09,0.0,213.7,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,41.6,41.6,41.6,41.6,41.6,41.6
2019-11-20 00:25:00,0,4.31,0.14,0.0,0.0,35.52,0.1,0.0,0.0,0.47,24.44,135,2.66,0.0,0,0.09,0.0,213.7,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,41.6,41.6,41.6,41.6,41.6,41.6
2019-11-20 00:26:00,0,3.97,0.13,0.0,0.0,32.71,0.09,0.0,0.0,0.47,24.25,0,7.98,0.0,0,0.09,0.0,213.7,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,41.7,41.7,41.7,41.7,41.7,41.7
2019-11-20 00:27:00,0,4.36,0.14,0.0,0.0,35.95,0.1,0.0,0.0,0.46,24.06,45,2.66,0.0,0,0.09,0.0,213.7,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,41.6,41.6,41.6,41.6,41.6,41.6
2019-11-20 00:28:00,0,4.5,0.15,0.0,0.0,37.14,0.1,0.0,0.0,0.47,24.06,135,7.98,0.0,0,0.09,0.0,213.7,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,41.3,41.3,41.3,41.3,41.3,41.3
2019-11-20 00:29:00,0,4.45,0.15,0.0,0.0,36.67,0.1,0.0,0.0,0.48,24.12,45,6.65,0.0,0,0.09,0.0,213.7,41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,41.1,41.1,41.1,41.1,41.1,41.1
2019-11-20 00:30:00,0,4.88,0.16,0.0,0.0,40.22,0.11,0.0,0.0,0.47,24.19,45,6.65,0.0,0,0.09,0.0,213.7,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,40.9,40.9,40.9,40.9,40.9,40.9
2019-11-20 00:31:00,0,4.39,0.15,0.0,0.0,36.22,0.1,0.0,0.0,0.46,24.06,45,6.65,0.0,0,0.09,0.0,213.7,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,40.9,40.9,40.9,40.9,40.9,40.9
2019-11-20 00:32:00,0,4.69,0.16,0.0,0.0,38.71,0.11,0.0,0.0,0.46,24.06,135,2.66,0.0,0,0.09,0.0,213.7,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,40.8,40.8,40.8,40.8,40.8,40.8
2019-11-20 00:33:00,0,4.43,0.15,0.0,0.0,36.57,0.1,0.0,0.0,0.47,24.0,45,5.32,0.0,0,0.09,0.0,213.7,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,40.9,40.9,40.9,40.9,40.9,40.9
2019-11-20 00:34:00,0,4.69,0.16,0.0,0.0,38.7,0.11,0.0,0.0,0.45,24.31,90,5.32,0.0,0,0.09,0.0,213.7,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,40.9,40.9,40.9,40.9,40.9,40.9
2019-11-20 00:35:00,0,5.25,0.17,0.0,0.0,43.3,0.12,0.0,0.0,0.47,24.25,45,6.65,0.0,0,0.09,0.0,213.7,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,40.9,40.9,40.9,40.9,40.9,40.9
2019-11-20 00:36:00,0,4.53,0.15,0.0,0.0,37.41,0.1,0.0,0.0,0.47,24.12,0,10.64,0.0,0,0.09,0.0,213.7,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,40.9,40.9,40.9,40.9,40.9,40.9
2019-11-20 00:37:00,0,5.24,0.17,0.0,0.0,43.25,0.12,0.0,0.0,0.48,23.81,45,3.99,0.0,0,0.09,0.0,213.7,41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,41.1,41.1,41.1,41.1,41.1,41.1
2019-11-20 00:38:00,0,4.53,0.15,0.0,0.0,37.39,0.1,0.0,0.0,0.46,23.88,45,2.66,0.0,0,0.09,0.0,213.7,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,41.3,41.3,41.3,41.3,41.3,41.3
2019-11-20 00:39:00,0,4.69,0.16,0.0,0.0,38.73,0.11,0.0,0.0,0.46,23.88,45,2.66,0.0,0,0.09,0.0,213.7,41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,41.5,41.5,41.5,41.5,41.5,41.5
2019-11-20 00:40:00,0,5.02,0.17,0.0,0.0,41.41,0.11,0.0,0.0,0.46,23.75,45,2.66,0.0,0,0.09,0.0,213.7,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,41.7,41.7,41.7,41.7,41.7,41.7
2019-11-20 00:41:00,0,4.83,0.16,0.0,0.0,39.89,0.11,0.0,0.0,0.49,24.12,45,5.32,0.0,0,0.09,0.0,213.7,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,41.9,41.9,41.9,41.9,41.9,41.9
2019-11-20 00:42:00,0,4.99,0.17,0.0,0.0,41.19,0.11,0.0,0.0,0.49,23.94,45,1.33,0.0,0,0.09,0.0,213.7,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,42.0,42.0,42.0,42.0,42.0,42.0
2019-11-20 00:43:00,0,4.92,0.16,0.0,0.0,40.57,0.11,0.0,0.0,0.46,23.75,45,2.66,0.0,0,0.09,0.0,213.7,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,42.1,42.1,42.1,42.1,42.1,42.1
2019-11-20 00:44:00,0,4.63,0.15,0.0,0.0,38.24,0.11,0.0,0.0,0.46,23.75,45,3.99,0.0,0,0.09,0.0,213.7,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,42.1,42.1,42.1,42.1,42.1,42.1
2019-11-20 00:45:00,0,4.52,0.15,0.0,0.0,37.27,0.1,0.0,0.0,0.46,23.69,90,0.0,0.0,0,0.09,0.0,213.7,42.3,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,42.3,42.3,42.3,42.3,42.3,42.3
2019-11-20 00:46:00,0,4.45,0.15,0.0,0.0,36.74,0.1,0.0,0.0,0.44,23.75,90,5.32,0.0,0,0.09,0.0,213.7,42.3,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,42.3,42.3,42.3,42.3,42.3,42.3
2019-11-20 00:47:00,0,4.76,0.16,0.0,0.0,39.29,0.11,0.0,0.0,0.45,23.5,45,2.66,0.0,0,0.09,0.0,213.7,42.4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,42.4,42.4,42.4,42.4,42.4,42.4
2019-11-20 00:48:00,0,4.7,0.16,0.0,0.0,38.81,0.11,0.0,0.0,0.46,23.31,90,2.66,0.0,0,0.09,0.0,213.7,42.4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,42.4,42.4,42.4,42.4,42.4,42.4
2019-11-20 00:49:00,0,4.95,0.16,0.0,0.0,40.81,0.11,0.0,0.0,0.46,23.44,45,0.0,0.0,0,0.09,0.0,213.7,42.7,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,42.7,42.7,42.7,42.7,42.7,42.7
2019-11-20 00:50:00,0,4.37,0.15,0.0,0.0,36.01,0.1,0.0,0.0,0.48,23.44,45,0.0,0.0,0,0.09,0.0,213.7,42.7,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,42.7,42.7,42.7,42.7,42.7,42.7
2019-11-20 00:51:00,0,4.34,0.14,0.0,0.0,35.84,0.1,0.0,0.0,0.45,23.38,45,2.66,0.0,0,0.09,0.0,213.7,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,42.8,42.8,42.8,42.8,42.8,42.8
2019-11-20 00:52:00,0,4.82,0.16,0.0,0.0,39.74,0.11,0.0,0.0,0.44,23.5,45,1.33,0.0,0,0.09,0.0,213.7,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,42.8,42.8,42.8,42.8,42.8,42.8
2019-11-20 00:53:00,0,5.07,0.17,0.0,0.0,41.8,0.11,0.0,0.0,0.46,23.56,45,2.66,0.0,0,0.09,0.0,213.7,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,43.0,43.0,43.0,43.0,43.0,43.0
2019-11-20 00:54:00,0,4.42,0.15,0.0,0.0,36.48,0.1,0.0,0.0,0.45,23.5,45,1.33,0.0,0,0.09,0.0,213.7,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,43.0,43.0,43.0,43.0,43.0,43.0
2019-11-20 00:55:00,0,5.05,0.17,0.0,0.0,41.64,0.11,0.0,0.0,0.44,23.44,45,2.66,0.0,0,0.09,0.0,213.7,43.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,43.2,43.2,43.2,43.2,43.2,43.2
2019-11-20 00:56:00,0,4.74,0.16,0.0,0.0,39.07,0.11,0.0,0.0,0.45,23.5,90,0.0,0.0,0,0.09,0.0,213.7,43.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,43.2,43.2,43.2,43.2,43.2,43.2
2019-11-20 00:57:00,0,4.58,0.15,0.0,0.0,37.75,0.1,0.0,0.0,0.46,23.5,90,0.0,0.0,0,0.09,0.0,213.7,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,43.4,43.4,43.4,43.4,43.4,43.4
2019-11-20 00:58:00,0,4.47,0.15,0.0,0.0,36.87,0.1,0.0,0.0,0.45,23.5,90,0.0,0.0,0,0.09,0.0,213.7,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,213.7,213.7,213.7,213.7,213.7,213.7,43.4,43.4,43.4,43.4,43.4,43.4
2019-11-20 00:59:00,0,4.8,0.16,0.0,0.0,39.56,0.11,0.0,0.0,0.46,23.25,45,0.0,0.0,0,0.0,0.0,215.9,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.9,215.9,215.9,215.9,215.9,215.9,43.5,43.5,43.5,43.5,43.5,43.5
2019-11-20 01:00:00,0,4.69,0.16,0.0,0.0,38.71,0.11,0.0,0.0,0.46,23.25,45,0.0,0.0,0,0.0,0.0,217.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,217.0,217.0,217.0,217.0,217.0,43.5,43.5,43.5,43.5,43.5,43.5
2019-11-20 01:01:00,0,4.08,0.14,0.0,0.0,33.68,0.09,0.0,0.0,0.46,23.25,45,0.0,0.0,0,0.0,0.0,217.55,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.55,217.55,217.55,217.55,217.55,217.55,43.4,43.4,43.4,43.4,43.4,43.4
2019-11-20 01:02:00,0,3.9,0.13,0.0,0.0,32.18,0.09,0.0,0.0,0.46,23.25,45,0.0,0.0,0,0.0,0.0,217.82,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.82,217.82,217.82,217.82,217.82,217.82,43.4,43.4,43.4,43.4,43.4,43.4
2019-11-20 01:03:00,0,3.78,0.13,0.0,0.0,31.2,0.09,0.0,0.0,0.46,23.19,45,0.0,0.0,0,0.0,0.0,217.96,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.96,217.96,217.96,217.96,217.96,217.96,43.8,43.8,43.8,43.8,43.8,43.8
2019-11-20 01:04:00,0,4.33,0.14,0.0,0.0,35.71,0.1,0.0,0.0,0.46,23.19,90,0.0,0.0,0,0.0,0.0,218.03,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.03,218.03,218.03,218.03,218.03,218.03,43.8,43.8,43.8,43.8,43.8,43.8
2019-11-20 01:05:00,0,4.03,0.13,0.0,0.0,33.28,0.09,0.0,0.0,0.47,23.25,45,0.0,0.0,0,0.0,0.0,218.07,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.07,218.07,218.07,218.07,218.07,218.07,43.9,43.9,43.9,43.9,43.9,43.9
2019-11-20 01:06:00,0,4.4,0.15,0.0,0.0,36.3,0.1,0.0,0.0,0.46,23.0,45,0.0,0.0,0,0.0,0.0,218.08,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.08,218.08,218.08,218.08,218.08,218.08,43.9,43.9,43.9,43.9,43.9,43.9
2019-11-20 01:07:00,0,3.95,0.13,0.0,0.0,32.57,0.09,0.0,0.0,0.45,23.12,45,0.0,0.0,0,0.0,0.0,218.09,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.09,218.09,218.09,218.09,218.09,218.09,43.9,43.9,43.9,43.9,43.9,43.9
